2026-01-03 00:10:23.016 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:10:27.105 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:11:42.469 [INFO] [INFO] worker - info -  Starting worker with 3 threads | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:42.473 [INFO] [INFO] worker - info -  Redis: redis://localhost:6379 | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:42.476 [INFO] [INFO] worker - info -  Key prefix: deploy: | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:42.479 [INFO] [INFO] worker - info -  Tasks: ['deploy', 'rollback'] | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:42.485 [INFO] [INFO] worker - info -  Queue config initialized: redis=redis://localhost:6379, workers=3 | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:42.490 [INFO] [INFO] worker - info -  Queue config initialized: redis=redis://localhost:6379, key_prefix=deploy:, workers=3 | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:42.494 [INFO] [INFO] worker - info -  Worker starting... | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:42.497 [INFO] [INFO] worker - info -  Queue workers started | worker_count=3 component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:42.500 [INFO] [INFO] worker - info -  Worker started, processing jobs... | component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:42.503 [INFO] [INFO] worker - info -  Worker 0 started | worker_id=0 max_workers=3 component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:46.623 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:11:46.623 [INFO] [INFO] worker - info -  Worker 1 started | worker_id=1 max_workers=3 component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:50.721 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:11:50.731 [INFO] [INFO] worker - info -  Worker 2 started | worker_id=2 max_workers=3 component=worker subcomponent=info service_name=worker environment=dev
2026-01-03 00:11:54.785 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
